Titles,Genre,Imdb_ratings,Tv-Ratings,runtime,Director,Years
Bad Witch,"Horror, Comedy",4.1,N/A,1h 25min,Victor Fink,2020
Boys,"Drama, Made in Europe, Horror, Romance, Sport",5.2,N/A,1h 18min,Mischa Kamp,2014
Funny Face,Drama,N/A,N/A,1h 35min,Tim Sutton,2021
Brave New Jersey,"Comedy, History",5.3,N/A,1h 26min,Jody Lambert,2017
Betting On The Bride,Romance,5.6,N/A,1h 24min,Marita Grabiak,2017
A Hero,"Drama, Mystery & Thriller",7.5,PG-13,2h 7min,Asghar Farhadi,2021
David Bowie: Out of This World,"Documentary, Music & Musical",5.9,N/A,1h 0min,Roxane Schlumberger,2021
How We Got Gay,Documentary,6.4,PG-13,43min,Marc de Guerre,2013
Apartment 407,"Drama, Mystery & Thriller, Crime",5.8,N/A,1h 34min,Rudolf Buitendach,2019
City of Dead Men,"Mystery & Thriller, Horror, Drama, Action & Adventure, Crime",6.4,N/A,1h 27min,Kirk Sullivan,2014
Joji,"Drama, Crime",7.8,N/A,1h 53min,Dileesh Pothan,2021
And They Say I Am the Crazy One,"Comedy, Drama",6.5,N/A,1h 26min,Julia Rezende,2021
Netflix vs. the World,Documentary,6.8,N/A,1h 44min,Shawn Cauthen,2020
Megan,Mystery & Thriller,N/A,N/A,1h 29min,N/A,2020
Autonomy,"Documentary, Science-Fiction",6.5,PG,1h 20min,Alex Horwitz,2019
The Sound of Scars,"Music & Musical, Documentary",7.1,N/A,1h 30min,Leigh Brooks,2021
Firestarter,"Science-Fiction, Mystery & Thriller, Horror, Drama",4.6,R,1h 34min,Keith Thomas,2022
You Are My Problem,"Drama, Comedy",4.9,N/A,1h 51min,Álvaro Curiel,2021
86 Melrose Avenue,"Drama, Mystery & Thriller",3.4,N/A,1h 24min,Lili Matta,2021
Another Soul,"Mystery & Thriller, Horror",2.2,N/A,1h 18min,Paul Chau,2018
All In: The Fight for Democracy,Documentary,6.9,PG-13,1h 42min,Liz Garbus,2020
The Falconer,Drama,6.1,N/A,1h 40min,Adam Sjöberg,2021
The Auschwitz Report,"Drama, Made in Europe, History, War & Military",6.6,R,1h 35min,Peter Bebjak,2021
How It Ends,"Comedy, Drama",5.3,R,1h 23min,Zoe Lister-Jones,2021
Metamorphosis,"Horror, Drama, Mystery & Thriller, Science-Fiction",5.5,R,1h 22min,Alex Smoot,2022
Last Rampage,"Drama, Mystery & Thriller, Action & Adventure, Crime",5.8,R,1h 33min,Dwight H. Little,2017
My Zoe,Drama,6.0,PG-13,1h 40min,Julie Delpy,2019
Noble,"Drama, Made in Europe",6.8,PG-13,1h 40min,Stephen Bradley,2014
One Night in Miami...,Drama,7.1,R,1h 50min,Regina King,2020
22 Chaser,"Drama, Crime",5.4,N/A,1h 35min,Rafal Sokolowski,2018
Ring of Desire,"Mystery & Thriller, Horror",4.4,PG-13,1h 25min,Ronnie Nanos,2021
Jai Bhim,"Drama, Mystery & Thriller, Crime",9.3,N/A,2h 44min,T. J. Gnanavel,2021
Kept Woman,"Mystery & Thriller, Drama",6.2,N/A,1h 25min,Michel Poulette,2015
The Dead Center,"Mystery & Thriller, Horror",5.8,N/A,1h 33min,Billy Senese,2019
Detroit,"Drama, Mystery & Thriller, Crime, History, Made in Europe",7.3,R,2h 23min,Kathryn Bigelow,2017
Raunch and Roll,"Drama, Music & Musical",6.9,N/A,1h 47min,Phil Wurtzel,2021
The Manor,Horror,5.3,N/A,1h 21min,Axelle Carolyn,2021
Interlude In Prague,"Drama, History, Music & Musical, Romance, Made in Europe",6.2,R,1h 43min,John Stephenson,2017
Breath of Life,Documentary,6.1,N/A,1h 22min,N/A,2014
The Wine of Summer,"Drama, Comedy, Romance",5.2,PG,1h 30min,Maria Matteoli,2013
Sunlight Jr.,"Drama, Made in Europe",5.6,N/A,1h 30min,Laurie Collyer,2013
Last Resort,Drama,9.4,R,1h 32min,Kevin Taylor,2022
Turnt,Drama,3.2,N/A,1h 25min,Mann Robinson,2022
Sobibor,"War & Military, Drama, History, Mystery & Thriller, Made in Europe",6.4,R,1h 53min,Konstantin Khabenskiy,2018
The Boy from Medellín,"Music & Musical, Documentary",6.1,R,1h 35min,Matthew Heineman,2020
A Feral World,"Horror, Drama, Science-Fiction",4.0,N/A,1h 45min,David Liban,2020
Murder Bury Win,"Mystery & Thriller, Drama, Horror, Crime, Fantasy, Comedy",5.4,N/A,1h 30min,Michael Lovan,2020
Ammu,Drama,6.7,N/A,2h 16min,Charukesh Sekar,2022
Virus Shark,"Horror, Science-Fiction",1.8,N/A,1h 14min,Mark Polonia,2021
Pulk,"Crime, Drama, Mystery & Thriller, Horror",3.1,N/A,1h 26min,Julian Filigno,2020
Herself,Drama,7.0,R,1h 37min,Phyllida Lloyd,2020
1945,"Drama, Made in Europe",7.1,N/A,1h 31min,Ferenc Török,2017
Pet Fooled,Documentary,7.3,N/A,1h 11min,Kohl Harrington,2016
Tab Hunter Confidential,Documentary,7.6,PG-13,1h 30min,Jeffrey Schwarz,2015
No Tears for the Dead,"Mystery & Thriller, Action & Adventure, Crime, Drama",6.7,N/A,1h 57min,Lee Jeong-beom,2014
Never Surrender: A Galaxy Quest Documentary,Documentary,7.6,PG-13,1h 27min,Jack Bennett,2019
Let There Be Light,"Documentary, Made in Europe",6.6,N/A,1h 30min,Mila Aung-Thwin,2017
Val,Documentary,7.7,R,1h 49min,Ting Poo,2021
Peridot,Drama,6.1,N/A,1h 2min,Shayne Pax,2022
Escape Through Africa,Action & Adventure,4.0,PG,1h 30min,Ted Betz,2022
Boy Meets Girl,"Romance, Drama, Comedy",7.1,N/A,1h 35min,Eric Schaeffer,2014
Good Kisser,"Drama, Romance, Comedy",4.4,N/A,1h 14min,Wendy Jo Carlton,2019
Ice Soldiers,"Action & Adventure, Science-Fiction, Mystery & Thriller",4.3,R,1h 30min,Sturla Gunnarsson,2013
Kabullywood,"Drama, Comedy, War & Military, Made in Europe",7.2,PG,1h 24min,N/A,2017
We Must Go,Documentary,8.4,N/A,1h 34min,Chad N. Walker,2014
The Obscured,Mystery & Thriller,N/A,N/A,1h 15min,Dianna Ippolito,2022
Yaanaa,Drama,5.3,N/A,2h 38min,Vijayalakshmi Singh,2019
The Dark,"Horror, Drama, Fantasy, Made in Europe",5.6,N/A,1h 34min,Justin P. Lange,2018
Licks,Drama,6.2,R,1h 33min,Jonathan Singer-Vine,2013
ECCO,"Drama, Crime, Mystery & Thriller",5.0,R,2h 3min,Ben Medina,2019
Woman in the Woods,Fantasy,N/A,N/A,1h 29min,Kevin Ang,2021
Nasha,"Mystery & Thriller, Drama",3.2,PG-13,2h 0min,N/A,2013
Sylvie's Love,"Music & Musical, Romance, Drama",6.8,PG-13,1h 54min,Eugene Ashe,2020
A Dark Place,"Drama, Documentary",N/A,N/A,1h 29min,N/A,2018
Marighella,"Mystery & Thriller, Drama, Action & Adventure, History",7.1,N/A,2h 35min,Wagner Moura,2021
Most Dangerous Game,"Drama, Mystery & Thriller, Romance, Action & Adventure, Crime",N/A,PG-13,1h 58min,N/A,2020
On the Trail of UFOs: Dark Sky,Documentary,5.7,N/A,1h 25min,Seth Breedlove,2021
Up North,Drama,5.4,N/A,10min,Stefanie Abel Horowitz,2017
Forsaken,"Western, Action & Adventure, Drama",6.4,R,1h 30min,Jon Cassar,2015
Star,"Mystery & Thriller, Drama",N/A,N/A,2h 0min,Domin D'Silva,2021
The Voyeurs,"Mystery & Thriller, Drama",6.0,R,1h 57min,Michael Mohan,2021
Road to Damascus,"Crime, Drama, Mystery & Thriller",5.5,N/A,1h 38min,Anthony G. Perkins,2021
Farmland,Documentary,6.2,N/A,1h 17min,James Moll,2014
Saani Kaayidham,"Action & Adventure, Crime, Drama, Romance",7.5,N/A,2h 16min,Arun Matheswaran,2022
2Survive,"Drama, Mystery & Thriller, Action & Adventure",5.1,N/A,1h 34min,Tom Seidman,2015
The Florist,Drama,3.7,N/A,1h 30min,Andrew Ryan,2021
Branded,"Western, Drama",4.5,N/A,1h 13min,Phil Gorn,2017
Kuruthi,Mystery & Thriller,7.5,N/A,2h 2min,Manu Warrier,2021
Pet,"Horror, Mystery & Thriller, Made in Europe",5.7,R,1h 34min,Carles Torrens,2016
The Odyssey,"Drama, Made in Europe, History, Action & Adventure",6.6,N/A,2h 2min,Jérôme Salle,2016
Christmas Is Canceled,"Comedy, Romance",4.8,R,1h 35min,Prarthana Mohan,2021
Hyde,Mystery & Thriller,4.2,N/A,1h 34min,Dallas Burgess,2021
One and the Same,Science-Fiction,4.3,N/A,1h 50min,Felipe Cisneros,2021
All Creatures Here Below,"Drama, Crime, Romance",5.7,N/A,1h 31min,Collin Schiffli,2019
Darbar,"Mystery & Thriller, Action & Adventure, Crime",6.0,N/A,2h 39min,A.R. Murugadoss,2020
Blast Vegas,"Mystery & Thriller, Action & Adventure, Fantasy",3.1,N/A,1h 26min,Jack Perez,2013
Yakuza Apocalypse,"Action & Adventure, Horror, Comedy, Made in Europe",5.5,N/A,1h 55min,Takashi Miike,2015
The Watcher,"Horror, Mystery & Thriller",5.4,PG-13,1h 29min,Ryan Rothmaier,2016
Redcon-1,"Horror, Action & Adventure, Mystery & Thriller",3.9,N/A,1h 55min,Chee Keong Cheung,2018
Alien Invasion: S.U.M.1,"Science-Fiction, Horror, Mystery & Thriller, Made in Europe",4.3,N/A,1h 30min,Ilya Sherstobitov,2017
My Fake Boyfriend,"Comedy, Romance",5.1,R,1h 40min,Rose Troche,2022
Aadai,"Mystery & Thriller, Drama",6.2,N/A,2h 23min,Rathna Kumar,2019
The Town that Dreaded Sundown,"Mystery & Thriller, Horror",5.6,R,1h 25min,Alfonso Gomez-Rejon,2014
A Gruta,Horror,3.0,N/A,1h 38min,Arthur Vinciprova,2020
Being the Ricardos,"Drama, History",6.5,R,2h 12min,Aaron Sorkin,2021
Search Out,Mystery & Thriller,N/A,N/A,1h 32min,Kwak Jung,2020
The Rescue,"Action & Adventure, Comedy, Drama, Mystery & Thriller",6.0,R,2h 19min,Dante Lam,2020
Bad Detectives,"Mystery & Thriller, Crime",4.0,N/A,1h 12min,Presley Paras,2021
Penélope,"Drama, Comedy, Romance",5.4,N/A,1h 7min,Agustín Adba,2018
Beast of the Water,Action & Adventure,3.7,N/A,1h 23min,Rashaad Santiago,2017
Flag Day,"Drama, Mystery & Thriller, Crime",5.4,R,1h 48min,Sean Penn,2021
Bob Saget: Zero to Sixty,Comedy,6.2,N/A,1h 5min,Jay Chapman,2017
The Island,Mystery & Thriller,N/A,N/A,1h 34min,Toka Mcbaror,2018
Dracula in Love,"Horror, Fantasy",2.1,N/A,1h 23min,Izidore K. Musallam,2018
Brad Williams: Daddy Issues,Comedy,7.7,R,1h 1min,Scott L. Montoya,2016
Awaken,"Horror, Mystery & Thriller, Action & Adventure",3.3,R,1h 35min,Mark Atkins,2015
Once in a Lifetime,"Drama, Made in Europe, Comedy, Documentary",7.0,N/A,1h 45min,Marie-Castille Mention-Schaar,2014
One,"Drama, Mystery & Thriller",6.5,N/A,2h 31min,Santhosh Viswanath,2021
Before Your Time,Kids & Family,5.7,G,2h 0min,Lucas McGraw,2017
Snapshots,"Drama, Documentary",7.0,N/A,1h 35min,Hans Petch,2018
5th of July,Comedy,4.8,R,1h 40min,Camilo Vila,2019
Payday,Comedy,5.5,N/A,1h 50min,Cheta Chukwu,2018
"The Badge, the Bible, and Bigfoot","Mystery & Thriller, Action & Adventure, Drama, Romance",1.8,N/A,1h 6min,Ashley Hays Wright,2019
Flashback,"Science-Fiction, Comedy",6.1,N/A,1h 35min,Caroline Vigneaux,2021
Who You Think I Am,"Drama, Romance, Made in Europe",6.8,N/A,1h 41min,Safy Nebbou,2019
Thank You,"Romance, Drama",6.0,N/A,2h 7min,Vikram Kumar,2022
To Hell and Gone,Western,5.9,N/A,1h 22min,N/A,2019
No Way to Live,"Mystery & Thriller, Drama, Crime",5.6,N/A,1h 24min,David Guglielmo,2016
Dorian Yates: The Original Mass Monster,"Documentary, Sport",7.7,N/A,1h 25min,Vlad Yudin,2019
Historias lamentables,Comedy,6.6,N/A,2h 9min,Javier Fesser,2021
Jackass Presents: Bad Grandpa,Comedy,6.5,R,1h 33min,Jeff Tremaine,2013
Hoodman,"Crime, Horror, Mystery & Thriller",4.4,N/A,1h 36min,Mark W. Curran,2021
Long Live Chainsaw,"Sport, Documentary",7.7,N/A,1h 33min,Darcy Wittenburg,2021
1480: Radio Pirates,"Drama, Music & Musical, Romance",6.1,N/A,1h 45min,N/A,2014
Gehraiyaan,"Drama, Romance, Comedy",5.8,N/A,2h 28min,Shakun Batra,2022
Dr. Brinks & Dr. Brinks,"Drama, Comedy",7.0,N/A,1h 34min,Josh Crockett,2017
David,"Drama, Romance, Mystery & Thriller, Action & Adventure, Crime",6.2,PG-13,2h 35min,Bejoy Nambiar,2013
Juarez 2045,"Science-Fiction, Action & Adventure",2.9,N/A,1h 46min,Chris Le,2017
Adventures in Public School,Comedy,5.9,N/A,1h 26min,Kyle Rideout,2018
USS Indianapolis: The Legacy,Documentary,8.3,N/A,1h 38min,N/A,2015
The Night Guard,"Drama, Crime",6.9,R,1h 30min,Diego Ros,2016
The Lift,"Science-Fiction, Romance, Comedy",4.6,N/A,1h 10min,Daniela Bernal,2021
Lost: MH 370,,N/A,PG-13,43min,N/A,2014
The Resurrection of Jake The Snake,"Documentary, Sport, Drama",7.8,N/A,1h 33min,Steve Yu,2015
To Life!,"Drama, Made in Europe, Documentary, Kids & Family, History, Music & Musical",7.4,N/A,1h 30min,Uwe Janson,2014
The Set Up,"Drama, Crime",4.2,N/A,1h 45min,Niyi Akinmolayan,2019
From the Depths,"Horror, Drama, Mystery & Thriller",2.5,N/A,1h 25min,Jose Montesinos,2020
Once I Was a Beehive,"Drama, Kids & Family, Comedy",6.3,PG,1h 59min,Maclain Nelson,2015
The Immortalists,"Documentary, Drama",6.3,N/A,1h 18min,Jason Sussberg,2014
Ida,"Drama, Made in Europe",7.4,PG-13,1h 22min,Paweł Pawlikowski,2013
Altered Hours,"Mystery & Thriller, Science-Fiction",4.7,N/A,1h 41min,Bruce Wemple,2016
Love & Friendship,"Drama, Romance, Comedy, Made in Europe",6.4,PG-13,1h 34min,Whit Stillman,2016
Ramsey: The Vandy Case,Crime,6.2,N/A,1h 55min,N/A,2021
The Dressmaker,"Drama, Comedy, Western, Made in Europe",7.0,R,1h 58min,Jocelyn Moorhouse,2015
Starring Adam West,"Documentary, Comedy, History",7.2,N/A,1h 38min,James E. Tooley,2013
Jack N Jill,"Mystery & Thriller, Science-Fiction, Comedy",1.5,N/A,2h 5min,Santosh Sivan,2022
The Maid,"Horror, Mystery & Thriller, Drama, Fantasy, Crime",5.6,N/A,1h 42min,Lee Thongkham,2020
Twinsanity,"Mystery & Thriller, Horror",4.1,N/A,1h 25min,Buz Wallick,2018
The Passion of Augustine,Drama,7.2,G,1h 43min,Léa Pool,2015
Cloudy with a Chance of Meatballs 2,"Comedy, Animation, Kids & Family, Fantasy, Science-Fiction, Drama",6.3,PG,1h 35min,Kris Pearn,2013
The Truth About Christmas,"Drama, Comedy, Romance",5.6,N/A,2h 0min,Jay Karas,2018
Battle Scars,"Drama, War & Military",5.5,N/A,1h 37min,Danny Buday,2017
Aimy in a Cage,"Drama, Fantasy, Science-Fiction, Mystery & Thriller",5.1,N/A,1h 29min,Hooroo Jackson,2016
Iravin Nizhal,"Mystery & Thriller, Drama",6.5,N/A,1h 34min,R. Parthiban,2022
White Demise,"Drama, Fantasy",4.2,N/A,1h 10min,Daeil Kim,2021
The Middle Distance,"Drama, Romance, Comedy",5.1,N/A,1h 20min,Patrick Underwood,2015
TANG AND ME,"Comedy, Drama, Science-Fiction",5.9,N/A,1h 55min,Takahiro Miki,2022
A Werewolf in England,"Horror, Comedy",3.9,N/A,1h 25min,Charlie Steeds,2020
Swallows and Amazons,"Kids & Family, Action & Adventure, Drama, War & Military",6.1,N/A,1h 37min,Philippa Lowthorpe,2016
The Man in the Hat,Comedy,6.4,N/A,1h 35min,Stephen Warbeck,2020
Ithaca,"Drama, War & Military",5.5,PG,1h 36min,Meg Ryan,2015
Shershaah,"Drama, Mystery & Thriller, War & Military, History, Romance, Action & Adventure",8.3,N/A,2h 15min,Vishnuvardhan,2021
Chi-Raq,"Drama, Crime, Comedy",5.9,R,2h 7min,Spike Lee,2015
These Streets We Haunt,"Drama, Fantasy",4.3,N/A,1h 47min,Jason Cunningham,2021
The Atoning,"Drama, Horror, Mystery & Thriller",4.2,N/A,1h 29min,Michael Williams,2017
The Turkey Bowl,Comedy,5.4,R,2h 0min,Greg Coolidge,2019
Natasha,"Drama, Made in Europe, Horror",7.3,N/A,1h 33min,David Bezmozgis,2015
The Barn,"Mystery & Thriller, Crime, Horror, Documentary, Made in Europe",3.4,PG,1h 30min,Matt Beurois,2018
Forte,"Comedy, Made in Europe",5.0,G,1h 35min,Katia Lewkowicz,2020
Lucky Bastard,"Mystery & Thriller, Drama, Crime",4.4,NC-17,1h 34min,Robert Nathan,2014
Diverge,"Science-Fiction, Mystery & Thriller, Drama",4.6,N/A,1h 25min,N/A,2016
Anyone Home?,"Drama, Horror, Mystery & Thriller",3.9,N/A,1h 22min,Patrick Cunningham,2018
Daffodils,"Drama, Romance",5.8,N/A,1h 33min,David Stubbs,2019
Petromax,"Comedy, Horror",5.3,PG-13,2h 8min,Rohin Venkatesan,2019
"Events Transpiring Before, During, and After a High School Basketball Game",Comedy,6.1,N/A,1h 16min,Ted Stenson,2020
The Lifeguard,"Drama, Romance",5.6,R,1h 38min,Liz W. Garcia,2013
Drishyam 2,"Drama, Mystery & Thriller, Crime",8.4,N/A,2h 33min,Jeethu Joseph,2021
Songs for a Sloth,"Comedy, Drama, Music & Musical",5.9,N/A,1h 25min,Bradley Hasse,2021
The Witch of Kings Cross,Documentary,6.4,R,1h 18min,Sonia Bible,2020
Not Alone,"Mystery & Thriller, Horror",3.9,N/A,1h 27min,Cezil Reed,2021
Death Hunt,"Mystery & Thriller, Action & Adventure",3.7,N/A,1h 32min,Neil Mackay,2022
Landline,"Comedy, Drama",6.4,R,1h 33min,Gillian Robespierre,2017
Braking for Whales,"Drama, Comedy",4.9,N/A,1h 43min,Sean McEwen,2019
Scales: Mermaids Are Real,"Fantasy, Kids & Family",4.1,PG,1h 32min,Kevan Peterson,2017
Sharknado 4: The 4th Awakens,"Comedy, Science-Fiction, Mystery & Thriller, Action & Adventure, Horror",3.8,N/A,1h 25min,Anthony C. Ferrante,2016
Saving Zoë,"Drama, Mystery & Thriller, Crime",5.4,R,1h 35min,Jeffrey G. Hunt,2019
Elsewhere,"Comedy, Drama, Animation",5.9,R,1h 38min,Hernán Jiménez,2020
Just Charlie,Drama,6.8,N/A,1h 37min,Rebekah Fortune,2017
Malik,"Mystery & Thriller, Drama, Action & Adventure, Crime",8.0,N/A,2h 41min,Mahesh Narayanan,2021
Cassanova Was a Woman,Comedy,6.0,N/A,1h 53min,Kevin Arbouet,2016
Lonely Boys,"Comedy, Drama, Romance",3.7,N/A,1h 30min,Dan Simon,2016
The Submarine Kid,"Drama, Romance",5.7,N/A,1h 49min,Eric Bilitch,2016
Art of the Game: Ukiyo-e Heroes,Documentary,7.7,N/A,1h 35min,Toru Tokikawa,2017
Fallen Stars,"Comedy, Drama",5.6,N/A,1h 28min,Brian Jett,2017
Nicole,"Horror, Comedy",4.3,N/A,1h 15min,James Schroeder,2019
Aida's Secrets,"Documentary, Made in Europe",7.2,N/A,1h 35min,Alon Schwarz,2016
White Rabbit,"Drama, Comedy",5.7,N/A,1h 11min,N/A,2018
Fair Play,"Drama, Made in Europe, Sport",6.8,N/A,1h 40min,Andrea Sedláčková,2014
American Refugee,"Mystery & Thriller, Horror, Drama, Crime",4.2,N/A,1h 35min,Ali LeRoi,2021
The Haunting of the Tower of London,"Horror, History",4.2,R,1h 29min,Charlie Steeds,2022
The Assassin's Code,"Mystery & Thriller, Action & Adventure, Crime, Drama",5.1,R,1h 35min,David A. Armstrong,2018
Flesh,Horror,2.8,N/A,1h 10min,Nikk Bergman,2021
K.G.F: Chapter 1,"Drama, Crime, Mystery & Thriller, Action & Adventure",8.2,PG-13,2h 36min,Prashanth Neel,2018
Domain,"Drama, Science-Fiction, Mystery & Thriller",5.6,N/A,1h 37min,Nathaniel Atcheson,2017
Pound of Flesh,"Action & Adventure, Mystery & Thriller",5.1,R,1h 44min,Ernie Barbarash,2015
Third Eye Spies,"Documentary, History",6.2,N/A,1h 55min,Lance Mungia,2019
Love Dot Com: The Social Experiment,Romance,4.5,N/A,1h 37min,Charneice Fox,2019
Rock Camp: The Movie,"Documentary, Music & Musical",N/A,N/A,1h 27min,Douglas Blush,2021
The Bachelors,"Romance, Drama, Comedy",6.8,N/A,1h 48min,Kurt Voelker,2017
Ashley Jones Is Perfectly Normal,"Drama, Comedy",4.6,N/A,1h 22min,Thomas Bangert,2021
Geetha,"Drama, Romance",5.9,N/A,2h 28min,Vijay N,2019
UFO Conspiracies: The Hidden Truth,Documentary,6.3,PG-13,1h 0min,Steven Lawson,2020
The Bikes of Wrath,Documentary,7.3,N/A,1h 42min,Charlie Turnbull,2018
Andy Paris: Bubblegum King,Documentary,7.7,N/A,1h 5min,N/A,2017
Death Count,Horror,4.6,N/A,1h 21min,Michael Su,2022
Triple Threat,"Drama, Comedy",7.0,N/A,1h 39min,Stacey Maltin,2020
Electric Slide,"Mystery & Thriller, Crime, Drama, Action & Adventure",4.7,R,1h 35min,Tristan Patterson,2014
Dark State,"Mystery & Thriller, Crime, Drama",3.0,N/A,1h 33min,Tracy Lucca,2021
Ice Guardians,"Documentary, Sport",7.4,N/A,1h 48min,Brett Harvey,2016
Slashlorette Party,Horror,3.4,N/A,1h 18min,N/A,2020
Jawaan,"Mystery & Thriller, Action & Adventure",4.7,N/A,2h 14min,BVS Ravi,2017
All the Old Knives,Mystery & Thriller,6.1,R,1h 41min,Janus Metz,2022
The Disappointments Room,"Horror, Mystery & Thriller, Drama",3.9,R,1h 40min,D. J. Caruso,2016
Sprinter,"Drama, Sport",6.2,N/A,1h 54min,Choi Seung-yeon,2019
Fort Bliss,"Drama, War & Military",6.4,N/A,1h 56min,Claudia Myers,2014
Naz & Maalik,"Drama, Romance, Comedy",5.7,N/A,1h 26min,Jay Dockendorf,2015
Konga TNT,"Horror, Science-Fiction, Comedy, Action & Adventure",1.8,N/A,1h 13min,Brett Kelly,2020
Geography Club,"Drama, Comedy",6.6,PG-13,1h 22min,Gary Entin,2013
The Last Days of Capitalism,Drama,N/A,N/A,1h 23min,Adam Mervis,2020
Death Link,"Drama, Horror",3.0,N/A,1h 28min,N/A,2021
5 Doctors,Comedy,5.4,N/A,1h 32min,Matt Porter,2016
ISRA 88,"Action & Adventure, Science-Fiction, Mystery & Thriller, Drama",3.6,N/A,1h 59min,Thomas Zellen,2016
William The Conqueror,"History, Documentary, Drama",6.1,N/A,54min,N/A,2013
Surviving the Serengeti,Documentary,8.8,N/A,1h 0min,Alan Miller,2015
Catching Faith,"Drama, Kids & Family, Sport",4.7,N/A,1h 28min,John K.D. Graham,2015
Howling Village,"Horror, Mystery & Thriller",5.0,N/A,1h 48min,Takashi Shimizu,2020
All Who Loved Her,"Mystery & Thriller, Drama",3.1,N/A,1h 34min,Christian Vinces,2021
Blow the Man Down,"Drama, Mystery & Thriller, Comedy, Crime",6.4,R,1h 30min,Bridget Savage Cole,2019
Danny. Legend. God.,"Comedy, Crime, Drama",5.7,R,1h 46min,Yavor Petkov,2020
Super Size Me 2: Holy Chicken!,Documentary,7.1,PG-13,1h 33min,Morgan Spurlock,2019
The Z,Horror,3.8,N/A,1h 14min,N/A,2014
The Night Watchmen,"Horror, Comedy, Action & Adventure",5.4,N/A,1h 20min,Mitchell Altieri,2017
Original Gangster,Crime,N/A,N/A,1h 50min,Savvas D. Michael,2020
Underdogs,"Drama, Kids & Family, Sport",5.8,PG,1h 44min,Doug Dearth,2013
Mind Runner,"Drama, Music & Musical, Science-Fiction",7.2,N/A,1h 5min,Marc Nyiti,2016
The Long Shadow,"Mystery & Thriller, Drama, Crime",5.0,N/A,1h 33min,Daniel Lafrentz,2020
Complete Strangers,"Drama, Romance, Mystery & Thriller",4.3,N/A,1h 45min,Pau Masó,2020
Ear Buds: The Podcasting Documentary,Documentary,6.4,N/A,1h 46min,Graham Elwood,2016
Dismissed,"Mystery & Thriller, Horror, Drama",5.7,N/A,1h 27min,Benjamin Arfmann,2017
Winners Tape All: The Henderson Brothers Story,"Horror, Comedy",6.8,N/A,1h 7min,Justin Channell,2016
Scare Campaign,Horror,5.9,N/A,1h 16min,Cameron Cairnes,2016
Walk With Me,Drama,5.7,N/A,1h 52min,Isabel del Rosal,2021
Rhys Darby: Mystic Time Bird,Comedy,6.5,N/A,1h 23min,Barry Castagnola,2021
Your Christmas Or Mine?,"Comedy, Romance",6.4,N/A,1h 34min,Jim O'Hanlon,2022
The Curse of Hobbes House,"Horror, Mystery & Thriller, Drama",3.6,R,1h 23min,Juliane Block,2020
Iliza Shlesinger: Over & Over,"Documentary, Comedy",6.3,N/A,1h 0min,Jonah Miles,2019
Get Duked!,"Comedy, Horror, Action & Adventure, Music & Musical, Mystery & Thriller",6.2,R,1h 27min,Ninian Doff,2019
Brian Posehn: Posehn 25x2,Comedy,6.8,N/A,1h 3min,Ryan Polito,2017
The Two Faces of January,"Mystery & Thriller, Romance",6.2,PG-13,1h 36min,Hossein Amini,2014
Satanic,"Horror, Mystery & Thriller",3.7,R,1h 24min,Jeffrey G. Hunt,2016
Yeh Jawaani Hai Deewani,"Comedy, Drama, Romance",7.2,PG,2h 40min,Ayan Mukerji,2013
Jungle Run,"Action & Adventure, Mystery & Thriller",2.8,PG-13,1h 26min,Noah Luke,2021
Savyasachi,"Mystery & Thriller, Action & Adventure",5.2,N/A,2h 31min,Chandoo Mondeti,2018
Meander,"Mystery & Thriller, Horror, Drama, Science-Fiction",5.4,R,1h 27min,Mathieu Turi,2021
Inherit the Viper,"Mystery & Thriller, Crime, Drama",5.2,R,1h 30min,Anthony Jerjen,2020
Hindi Medium,"Drama, Comedy",7.8,N/A,2h 12min,Saket Chaudhary,2017
Nomad: In the Footsteps of Bruce Chatwin,Documentary,6.9,PG,1h 29min,Werner Herzog,2019
My Fiona,Drama,5.8,N/A,1h 27min,Kelly Walker,2021
Kendrick Lamar's The Big Steppers Tour: Live from Paris,"Documentary, Music & Musical",8.5,N/A,1h 47min,Mike Carson,2022
Fall City,"Romance, Drama",5.6,N/A,1h 33min,Nathan D. Lee,2018
Burning Dog,"Comedy, Mystery & Thriller, Action & Adventure",4.1,N/A,1h 29min,Trey Batchelor,2020
Target Number One,"Mystery & Thriller, Crime, Drama, History",6.2,R,2h 5min,Daniel Roby,2020
Exposing Muybridge,Documentary,6.7,N/A,1h 28min,Marc Shaffer,2022
The Grand Seduction,Comedy,7.0,PG-13,1h 53min,Don McKellar,2014
Triple Seat,"Kids & Family, Romance, Drama",6.1,N/A,2h 6min,Sanket Pavse,2019
Bad Comments,Comedy,6.6,N/A,2h 14min,Moses Inwang,2020
TikTok,Documentary,N/A,PG-13,43min,Avani Dias,2021
Captain Sabertooth and the Treasure of Lama Rama,"Action & Adventure, Kids & Family, Made in Europe, Comedy, Drama",5.2,PG,1h 36min,John Andreas Andersen,2014
Retina,"Drama, Mystery & Thriller, Science-Fiction, Horror",3.9,N/A,1h 27min,Iris Schmitt,2017
Escape from Death Block 13,Action & Adventure,4.4,N/A,1h 44min,Gary Jones,2021
Sarkaru Vaari Paata,"Action & Adventure, Drama, Mystery & Thriller, Crime",5.6,N/A,2h 42min,Parasuram Petla,2022
Saunkan Saunkne,"Comedy, Drama, Romance",6.1,N/A,2h 30min,Amarjit Singh Saron,2022
